epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,30401.9,0.61488,0.51681,0.99972,0.91199,0.86802,0.92951,0.76931,0.70616,0.53127,0.90943,0.00018325,0.00018325,0.00018325
167,30460.5,0.61815,0.52131,1.00258,0.90986,0.86428,0.92946,0.77387,0.68868,0.52592,0.9057,0.0001783,0.0001783,0.0001783
168,30519,0.6076,0.51636,0.99667,0.91784,0.85728,0.92826,0.76922,0.70002,0.5368,0.91014,0.00017335,0.00017335,0.00017335
169,30577.5,0.61222,0.50955,0.99905,0.89729,0.87175,0.92893,0.76537,0.71108,0.53685,0.91114,0.0001684,0.0001684,0.0001684
170,30636.6,0.61116,0.51227,0.9959,0.90728,0.87203,0.92918,0.77483,0.68181,0.52702,0.90597,0.00016345,0.00016345,0.00016345
171,30695.2,0.60557,0.50336,0.99393,0.90026,0.88283,0.93061,0.77265,0.69093,0.52417,0.90413,0.0001585,0.0001585,0.0001585
172,30753.6,0.60828,0.50853,0.99494,0.90991,0.87721,0.93207,0.77004,0.70875,0.52464,0.91004,0.00015355,0.00015355,0.00015355
173,30812,0.60673,0.50135,0.99573,0.91832,0.87304,0.93392,0.77108,0.70841,0.52124,0.91241,0.0001486,0.0001486,0.0001486
174,30871.2,0.61128,0.5037,0.99573,0.91638,0.87004,0.93085,0.77021,0.70234,0.52533,0.91094,0.00014365,0.00014365,0.00014365
175,30929.8,0.60543,0.50248,0.9948,0.90613,0.87979,0.93002,0.76985,0.70529,0.52795,0.9085,0.0001387,0.0001387,0.0001387
176,30988,0.60434,0.49724,0.99485,0.91834,0.86957,0.93271,0.77135,0.70589,0.52505,0.90889,0.00013375,0.00013375,0.00013375
177,31046.3,0.60073,0.49357,0.99428,0.91448,0.86971,0.93195,0.77098,0.71404,0.52599,0.91305,0.0001288,0.0001288,0.0001288
178,31105.3,0.59618,0.49237,0.99087,0.91547,0.86328,0.93052,0.77261,0.70693,0.52422,0.91345,0.00012385,0.00012385,0.00012385
179,31163.8,0.59458,0.49153,0.99161,0.904,0.88016,0.93209,0.77402,0.70471,0.51706,0.91486,0.0001189,0.0001189,0.0001189
180,31222.2,0.59065,0.49077,0.98734,0.88952,0.89047,0.93204,0.77119,0.70657,0.52476,0.9127,0.00011395,0.00011395,0.00011395
